lat,lon,ele
-33.483978682,-70.744457076,478.323
-33.488594702,-70.758161826,470.941
-33.489311286,-70.760053936,470.285
-33.490013567,-70.762412101,469.064
-33.493982403,-70.771887128,462.663
-33.497319355,-70.776672691,460.306
-33.502214735,-70.781045763,455.324
-33.501899223,-70.778701469,457.378
-33.500839362,-70.775397818,459.012
-33.499765338,-70.772560295,461.122
-33.499449753,-70.770216515,464.985
-33.497659511,-70.765487721,467.86
-33.496241329,-70.761238946,469.295
-33.494450751,-70.756510463,481.259
-33.492658405,-70.751768018,472.0
-33.4897655,-70.74514255,474.643
-33.486470769,-70.738967888,479.021
-33.483230858,-70.730910208,486.806
-33.479231684,-70.722325823,490.321
-33.475204874,-70.714723142,496.258
-33.471592161,-70.706204943,498.247
-33.467620589,-70.696737719,506.0
-33.466517084,-70.694829091,502.408
-33.459579233,-70.68104667,516.119
-33.457756571,-70.67725376,523.886
-33.446809744,-70.655399897,550.213
-33.444230403,-70.651107796,564.251
-33.437210253,-70.639661379,581.957
-33.437920896,-70.641551084,578.339
-33.441253556,-70.647261907,574.154
-33.446794105,-70.65586463,550.532
-33.45074763,-70.665794927,541.383
-33.455877018,-70.675316491,526.982
-33.459049401,-70.685673665,513.821
-33.463647627,-70.699839711,502.869
-33.468237932,-70.71445321,494.842
-33.472755238,-70.731393619,485.016
-33.475937093,-70.741324726,481.339
-33.478058686,-70.747960387,477.669
-33.480582427,-70.754130768,473.774
-33.483119884,-70.759812022,469.602
-33.486403239,-70.766481054,466.965
-33.490072287,-70.773147788,461.422
-33.491849288,-70.778346195,459.972
-33.4903591,-70.776425894,461.387
-33.488883008,-70.774039079,461.01
-33.488897326,-70.773572759,463.077
-33.48746402,-70.76978697,465.637
-33.485686316,-70.764584571,465.966
-33.483521303,-70.759362,469.524
-33.480639807,-70.752272249,478.585
-33.477714617,-70.746541771,476.0
-33.477743382,-70.745605633,476.978
-33.475965786,-70.740393667,481.523
-33.474904918,-70.737086716,482.658
-33.473142391,-70.731408209,486.603
-33.471780187,-70.725300741,493.049
-33.469256249,-70.719149351,491.678
-33.465254163,-70.710612095,498.374
-33.463503782,-70.704490707,501.489
-33.461725472,-70.699295829,505.212
-33.46066534,-70.695989595,508.437
-33.458888992,-70.690791023,509.305
-33.45635281,-70.68509716,516.084
-33.454157982,-70.680820342,520.923
-33.451602045,-70.675601784,529.593
-33.449436083,-70.670394946,536.0
-33.447991235,-70.667074618,537.954
-33.446178907,-70.662818554,546.218
-33.447560308,-70.668451349,541.0
-33.449678846,-70.675056357,529.548
-33.451044101,-70.68115589,522.598
-33.453940072,-70.687793146,515.184
-33.456118358,-70.692542073,509.849
-33.459356966,-70.700599173,506.0
-33.463001402,-70.70819588,500.291
-33.466660045,-70.715323486,482.075
-33.469571791,-70.721490184,494.458
-33.473214046,-70.729081631,488.0
-33.478015613,-70.736750821,482.956
-33.482487947,-70.742530414,480.039
-33.480408838,-70.734521089,483.528
-33.479347878,-70.731206621,486.772
-33.477255169,-70.723646879,489.0
-33.475162094,-70.71611788,493.986
-33.472653283,-70.709504192,496.767
-33.469039857,-70.700985599,501.413
-33.465757372,-70.694332312,505.537
-33.462475937,-70.68767702,512.0
-33.460325192,-70.682006955,516.49
-33.458516768,-70.677750182,521.405
-33.456320789,-70.673476738,525.484
-33.455588649,-70.672052122,528.58
-33.450124345,-70.660662949,543.488
-33.44651574,-70.65214032,560.042
-33.443645471,-70.645045147,566.163
-33.441078958,-70.639830264,577.772
-33.437807507,-70.63318747,586.033
-33.435667544,-70.627060914,589.194
-33.431668109,-70.618534413,595.28
-33.428416414,-70.611440812,608.785
-33.425876128,-70.605764232,623.752
-33.423681394,-70.60149456,625.873
-33.420712684,-70.597662903,630.944
-33.416945561,-70.594254078,649.796
-33.416519023,-70.595627279,635.184
-33.418330028,-70.599880345,633.277
-33.419031002,-70.60222759,633.45
-33.420704281,-70.609704944,620.253
-33.422843157,-70.615829578,607.781
-33.424557364,-70.622862612,600.065
-33.427129135,-70.629939406,678.654
-33.429961663,-70.63702029,576.824
-33.433925484,-70.645555899,566.396
-33.437919268,-70.654094651,563.0
-33.443380692,-70.665488031,547.416
-33.44955131,-70.679233732,524.692
-33.457207582,-70.694917005,510.016
-33.464077569,-70.711031928,496.029
-33.47099152,-70.72573651,491.85
-33.476051796,-70.737600715,483.136
-33.478847388,-70.747520852,478.149
-33.479564292,-70.749422026,478.0
-33.481700719,-70.755566763,473.2
-33.480955196,-70.754609477,473.0
-33.480639807,-70.752272249,478.585
-33.479205838,-70.748471381,477.282
-33.478904747,-70.745648687,481.278
-33.476739955,-70.740425966,479.387
-33.475707719,-70.736188209,484.0
-33.474719354,-70.730536042,484.061
-33.473744278,-70.724444107,489.001
-33.47246778,-70.715548148,494.003
-33.46995837,-70.708933434,497.965
-33.46823709,-70.701884525,501.859
-33.465757372,-70.694332312,505.537
-33.462189551,-70.684408038,513.145
-33.457066964,-70.674437284,525.441
-33.451938788,-70.664915172,538.721
-33.446066191,-70.654437607,557.547
-33.43975361,-70.644883122,576.858
-33.435698462,-70.63820362,577.378
-33.432778533,-70.632503932,580.989
-33.433555702,-70.632537848,584.691
-33.435361121,-70.636794831,573.0
-33.43747496,-70.643389877,579.881
-33.439932356,-70.652313572,572.591
-33.442375543,-70.66033222,542.0
